size,naive,better,blas
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
52,0.010000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.010000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.010000,0.000000,0.000000
102,0.010000,0.000000,0.000000
102,0.010000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
152,0.020000,0.010000,0.010000
152,0.010000,0.020000,0.000000
152,0.020000,0.010000,0.010000
152,0.010000,0.020000,0.000000
152,0.020000,0.020000,0.000000
152,0.020000,0.010000,0.000000
152,0.010000,0.020000,0.000000
152,0.020000,0.010000,0.010000
152,0.010000,0.020000,0.000000
152,0.020000,0.020000,0.000000
202,0.040000,0.050000,0.010000
202,0.050000,0.040000,0.010000
202,0.040000,0.040000,0.000000
202,0.040000,0.050000,0.010000
202,0.060000,0.060000,0.010000
202,0.060000,0.070000,0.000000
202,0.060000,0.060000,0.000000
202,0.060000,0.050000,0.010000
202,0.060000,0.060000,0.000000
202,0.050000,0.050000,0.000000
252,0.080000,0.130000,0.020000
252,0.110000,0.100000,0.010000
252,0.100000,0.090000,0.010000
252,0.090000,0.140000,0.010000
252,0.120000,0.130000,0.010000
252,0.120000,0.120000,0.010000
252,0.220000,0.140000,0.010000
252,0.140000,0.090000,0.010000
252,0.110000,0.100000,0.010000
252,0.080000,0.140000,0.020000
302,0.200000,0.310000,0.030000
302,0.210000,0.180000,0.020000
302,0.180000,0.290000,0.030000
302,0.250000,0.330000,0.040000
302,0.280000,0.200000,0.020000
302,0.150000,0.140000,0.010000
302,0.150000,0.180000,0.020000
302,0.140000,0.150000,0.020000
302,0.140000,0.140000,0.020000
302,0.140000,0.140000,0.020000
352,0.230000,0.240000,0.030000
352,0.240000,0.250000,0.030000
352,0.250000,0.240000,0.020000
352,0.250000,0.230000,0.050000
352,0.390000,0.270000,0.030000
352,0.280000,0.260000,0.030000
352,0.250000,0.250000,0.020000
352,0.250000,0.290000,0.030000
352,0.260000,0.240000,0.030000
352,0.250000,0.260000,0.030000
402,0.360000,0.380000,0.040000
402,0.390000,0.400000,0.040000
402,0.350000,0.430000,0.040000
402,0.360000,0.350000,0.040000
402,0.360000,0.350000,0.060000
402,0.360000,0.380000,0.050000
402,0.370000,0.410000,0.030000
402,0.410000,0.380000,0.040000
402,0.360000,0.380000,0.040000
402,0.330000,0.400000,0.040000
452,0.520000,0.620000,0.050000
452,0.570000,0.950000,0.050000
452,0.510000,0.540000,0.070000
452,0.500000,0.600000,0.080000
452,0.860000,0.780000,0.100000
452,1.150000,1.140000,0.060000
452,1.020000,1.210000,0.100000
452,0.810000,1.030000,0.090000
452,0.650000,0.620000,0.070000
452,1.200000,1.120000,0.060000
502,0.790000,1.030000,0.070000
502,1.380000,1.570000,0.110000
502,1.570000,1.010000,0.070000
502,0.840000,0.780000,0.070000
502,0.690000,0.770000,0.080000
502,0.910000,0.810000,0.080000
502,0.700000,0.680000,0.090000
502,0.830000,0.820000,0.080000
502,0.730000,0.830000,0.070000
502,0.830000,0.840000,0.100000